Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
0,1.0,1.0,0.43315207853187637,0.125,0.0,0.36814570743360975,1.0
1,0.0,0.0,0.5794308998041521,0.125,0.0,0.6150689327566244,0.0
1,1.0,0.0,0.4623461705678389,0.0,0.0,0.43828637974458046,1.0
1,0.0,0.0,0.5638056570361273,0.125,0.0,0.5951117782251508,1.0
0,1.0,1.0,0.5638056570361273,0.0,0.0,0.4483469373725304,1.0
0,1.0,1.0,0.4978259932790342,0.0,0.0,0.45723137476440073,0.5
0,0.0,1.0,0.6571603408131788,0.0,0.0,0.5893723924921064,1.0
0,1.0,1.0,0.3025785219266238,0.375,0.16666666666666666,0.5236656813522597,1.0
1,1.0,0.0,0.4675096096866259,0.0,0.3333333333333333,0.4783210927660373,1.0
1,0.5,0.0,0.3662656893461075,0.125,0.0,0.5616510642377388,0.0
1,1.0,0.0,0.32945315255386226,0.125,0.16666666666666666,0.5133270005850489,1.0
1,0.0,0.0,0.6767077140108874,0.0,0.0,0.5477878099218253,1.0
0,1.0,1.0,0.4160650722164084,0.0,0.0,0.4483469373725304,1.0
0,1.0,1.0,0.584289009059101,0.125,0.8333333333333333,0.5665407176699173,1.0
0,1.0,0.0,0.3662656893461075,0.0,0.0,0.4167698439704556,1.0
1,0.5,0.0,0.662061375927365,0.0,0.0,0.5104269714406295,1.0
0,1.0,1.0,0.3025785219266238,0.5,0.16666666666666666,0.5573255055537766,0.5
1,0.5,1.0,0.4978259932790342,0.0,0.0,0.4895936900036676,1.0
0,1.0,0.0,0.5421291926909031,0.125,0.0,0.5147917997571257,1.0
1,1.0,0.0,0.4978259932790342,0.0,0.0,0.3464032120058173,0.0
0,0.5,1.0,0.5638056570361273,0.0,0.0,0.5373931885097546,1.0
1,0.5,1.0,0.5579035407552049,0.0,0.0,0.4895936900036676,1.0
1,1.0,0.0,0.3705765930857424,0.0,0.0,0.4412746510442668,0.5
1,0.0,1.0,0.4978259932790342,0.0,0.0,0.5744411836158962,1.0
0,1.0,0.0,0.34894368318324626,0.375,0.16666666666666666,0.5236656813522597,1.0
1,1.0,0.0,0.5794308998041521,0.125,0.8333333333333333,0.5683943213256838,1.0
0,1.0,1.0,0.4978259932790342,0.0,0.0,0.3464032120058173,0.0
0,0.0,1.0,0.40799002034336385,0.375,0.3333333333333333,0.7476408695413723,1.0
1,1.0,0.0,0.4978259932790342,0.0,0.0,0.42022887813169896,0.5
0,1.0,1.0,0.4978259932790342,0.0,0.0,0.42845836148554584,1.0
0,0.0,1.0,0.5897450537859864,0.0,0.0,0.5513742636740908,0.0
1,0.0,0.0,0.4978259932790342,0.125,0.0,0.6763030398174731,0.0
1,1.0,0.0,0.4978259932790342,0.0,0.0,0.39492446436253303,0.5
0,0.5,1.0,0.732652821631114,0.0,0.0,0.4740870124718861,1.0
0,0.0,1.0,0.4978259932790342,0.125,0.0,0.6350166209398078,0.0
0,0.0,1.0,0.5987240403310208,0.125,0.0,0.5916289642426651,1.0
1,1.0,1.0,0.4978259932790342,0.0,0.0,0.3574588034684496,0.0
0,1.0,1.0,0.42391839883370597,0.0,0.0,0.4483469373725304,1.0
0,1.0,0.0,0.3966623340983409,0.25,0.0,0.5147917997571257,1.0
1,1.0,0.0,0.3662656893461075,0.125,0.0,0.4788163108705553,0.0
0,1.0,0.0,0.5897450537859864,0.125,0.0,0.46486785540838366,1.0
0,0.5,0.0,0.4675096096866259,0.125,0.0,0.5221747008933499,1.0
0,1.0,1.0,0.4978259932790342,0.0,0.0,0.42845836148554584,0.0
1,0.5,0.0,0.3192163198209954,0.125,0.3333333333333333,0.5828794417891092,0.0
1,1.0,0.0,0.40799002034336385,0.0,0.0,0.42022887813169896,0.5
0,1.0,1.0,0.4978259932790342,0.0,0.0,0.4483469373725304,1.0
0,1.0,1.0,0.4978259932790342,0.125,0.0,0.5067685847733391,0.5
